date,Action,symbol,Quantity,Price,close,adj,vol,pos,curval,curcost,curpl,trdnum
2018-10-30,NA,AMZN,0,0,1530.420044,1530.420044,12460100,3,4591.260131999999,-4216.08,375.1801319999995,NA
2018-10-31,NA,AMZN,0,0,1598.01001,1598.01001,9390200,3,4794.03003,-4216.08,577.95003,NA
2018-11-01,NA,AMZN,0,0,1665.530029,1665.530029,8135500,3,4996.5900870000005,-4216.08,780.5100870000006,NA
2018-11-02,NA,AMZN,0,0,1665.530029,1665.530029,6955500,3,4996.5900870000005,-4216.08,780.5100870000006,NA
2018-11-05,NA,AMZN,0,0,1627.800049,1627.800049,5624700,3,4883.400147,-4216.08,667.3201470000004,NA
2018-11-06,NA,AMZN,0,0,1642.810059,1642.810059,4257400,3,4928.430177,-4216.08,712.3501770000003,NA
2018-11-07,NA,AMZN,0,0,1755.48999,1755.48999,8192200,3,5266.46997,-4216.08,1050.3899700000002,NA
2018-11-08,NA,AMZN,0,0,1754.910034,1754.910034,6534900,3,5264.7301019999995,-4216.08,1048.6501019999996,NA
2018-11-09,NA,AMZN,0,0,1712.430054,1712.430054,5902200,3,5137.290161999999,-4216.08,921.2101619999994,NA
2018-11-12,buy,AMZN,1,1649.18,1636.849976,1636.849976,6806200,4,6547.399904,-5870.21,677.1899039999998,8
2018-11-13,NA,AMZN,0,0,1631.170044,1631.170044,5933300,4,6524.680176,-5870.21,654.4701759999998,NA
2018-11-14,NA,AMZN,0,0,1599.01001,1599.01001,6486900,4,6396.04004,-5870.21,525.8300399999998,NA
2018-11-15,NA,AMZN,0,0,1619.439941,1619.439941,8427300,4,6477.759764,-5870.21,607.5497640000003,NA
2018-11-16,NA,AMZN,0,0,1593.410034,1593.410034,6066100,4,6373.640136,-5870.21,503.43013599999995,NA
2018-11-19,NA,AMZN,0,0,1512.290039,1512.290039,7790000,4,6049.160156,-5870.21,178.95015599999988,NA
2018-11-20,NA,AMZN,0,0,1495.459961,1495.459961,10878800,4,5981.839844,-5870.21,111.62984400000005,NA
2018-11-21,NA,AMZN,0,0,1516.72998,1516.72998,5716800,4,6066.91992,-5870.21,196.70992000000024,NA
2018-11-23,NA,AMZN,0,0,1502.060059,1502.060059,2707600,4,6008.240236,-5870.21,138.0302359999996,NA
2018-11-26,NA,AMZN,0,0,1581.329956,1581.329956,6257700,4,6325.319824,-5870.21,455.1098240000001,NA
2018-11-27,NA,AMZN,0,0,1581.420044,1581.420044,5783200,4,6325.680176,-5870.21,455.4701759999998,NA
2018-11-28,sell,AMZN,-2,1679.17,1677.75,1677.75,8458700,2,3355.5,-2516.87,838.6300000000001,9
2018-11-29,NA,AMZN,0,0,1673.569946,1673.569946,6613200,2,3347.139892,-2516.87,830.2698920000003,NA
2018-11-30,NA,AMZN,0,0,1690.170044,1690.170044,5761800,2,3380.340088,-2516.87,863.470088,NA
2018-12-03,sell,AMZN,-1,1763.67,1772.359985,1772.359985,6862300,1,1772.359985,-758.1799999999998,1014.1799850000002,10
2018-12-04,NA,AMZN,0,0,1668.400024,1668.400024,8694500,1,1668.400024,-758.1799999999998,910.2200240000002,NA
2018-12-06,NA,AMZN,0,0,1699.189941,1699.189941,8789400,1,1699.189941,-758.1799999999998,941.0099410000003,NA
2018-12-07,buy,AMZN,1,1636.95,1629.130005,1629.130005,7576100,2,3258.26001,-2400.08,858.18001,11
2018-12-10,NA,AMZN,0,0,1641.030029,1641.030029,7494800,2,3282.060058,-2400.08,881.9800580000001,NA
2018-12-11,NA,AMZN,0,0,1643.23999,1643.23999,6244700,2,3286.47998,-2400.08,886.3999800000001,NA
2018-12-12,sell,AMZN,-1,1696.83,1663.540039,1663.540039,6598000,1,1663.540039,-708.23,955.310039,12
2018-12-13,NA,AMZN,0,0,1658.380005,1658.380005,5271300,1,1658.380005,-708.23,950.150005,NA
2018-12-14,NA,AMZN,0,0,1591.910034,1591.910034,6367200,1,1591.910034,-708.23,883.680034,NA
2018-12-17,buy,AMZN,1,1530.15,1520.910034,1520.910034,8829800,2,3041.820068,-2243.33,798.4900680000001,13
2018-12-18,sell,AMZN,-1,1557,1551.47998,1551.47998,6523000,1,1551.47998,-691.31,860.1699800000001,14
2018-12-19,buy,AMZN,1,1492.8,1495.079956,1495.079956,8792200,2,2990.159912,-2189.06,801.0999120000001,15
2018-12-20,NA,AMZN,0,0,1460.829956,1460.829956,9991800,2,2921.659912,-2189.06,732.5999120000001,NA
2018-12-21,buy,AMZN,1,1388,1377.449951,1377.449951,13640300,3,4132.349853,-3582.01,550.3398529999995,16
2018-12-24,NA,AMZN,0,0,1343.959961,1343.959961,7220000,3,4031.879883,-3582.01,449.86988299999985,NA
2018-12-26,NA,AMZN,0,0,1470.900024,1470.900024,10411800,3,4412.700072,-3582.01,830.6900719999994,NA
2018-12-27,NA,AMZN,0,0,1461.640015,1461.640015,9722000,3,4384.920045,-3582.01,802.9100449999996,NA
2018-12-28,NA,AMZN,0,0,1478.02002,1478.02002,8829000,3,4434.06006,-3582.01,852.0500599999996,NA
2018-12-31,sell,AMZN,-1,1494,1501.969971,1501.969971,6954500,2,3003.939942,-2092.98,910.959942,17
2019-01-02,NA,AMZN,0,0,1539.130005,1539.130005,7983100,2,3078.26001,-2092.98,985.28001,NA
2019-01-03,NA,AMZN,0,0,1500.280029,1500.280029,6953200,2,3000.560058,-2092.98,907.580058,NA
2019-01-04,NA,AMZN,0,0,1575.390015,1575.390015,9182600,2,3150.78003,-2092.98,1057.8000299999999,NA
2019-01-07,NA,AMZN,0,0,1629.51001,1629.51001,7993200,2,3259.02002,-2092.98,1166.04002,NA
2019-01-08,NA,AMZN,0,0,1656.579956,1656.579956,8881400,2,3313.159912,-2092.98,1220.179912,NA
2019-01-09,NA,AMZN,0,0,1659.420044,1659.420044,6348800,2,3318.840088,-2092.98,1225.860088,NA
2019-01-10,NA,AMZN,0,0,1656.219971,1656.219971,6507700,2,3312.439942,-2092.98,1219.459942,NA
2019-01-11,NA,AMZN,0,0,1640.560059,1640.560059,4686200,2,3281.120118,-2092.98,1188.1401179999998,NA
2019-01-14,NA,AMZN,0,0,1617.209961,1617.209961,6005900,2,3234.419922,-2092.98,1141.439922,NA
2019-01-15,NA,AMZN,0,0,1674.560059,1674.560059,5998500,2,3349.120118,-2092.98,1256.1401179999998,NA
2019-01-16,NA,AMZN,0,0,1683.780029,1683.780029,6366900,2,3367.560058,-2092.98,1274.580058,NA
2019-01-17,NA,AMZN,0,0,1693.219971,1693.219971,4208900,2,3386.439942,-2092.98,1293.459942,NA
2019-01-18,NA,AMZN,0,0,1696.199951,1696.199951,6020500,2,3392.399902,-2092.98,1299.419902,NA
2019-01-22,NA,AMZN,0,0,1632.170044,1632.170044,6416800,2,3264.340088,-2092.98,1171.360088,NA
2019-01-23,NA,AMZN,0,0,1640.02002,1640.02002,5225200,2,3280.04004,-2092.98,1187.0600399999998,NA
2019-01-24,NA,AMZN,0,0,1654.930054,1654.930054,4089900,2,3309.860108,-2092.98,1216.8801079999998,NA
2019-01-25,NA,AMZN,0,0,1670.569946,1670.569946,4945900,2,3341.139892,-2092.98,1248.1598920000001,NA
2019-01-28,NA,AMZN,0,0,1637.890015,1637.890015,4837700,2,3275.78003,-2092.98,1182.8000299999999,NA
2019-01-29,NA,AMZN,0,0,1593.880005,1593.880005,4632800,2,3187.76001,-2092.98,1094.78001,NA
2019-01-30,NA,AMZN,0,0,1670.430054,1670.430054,5783800,2,3340.860108,-2092.98,1247.8801079999998,NA
2019-01-31,NA,AMZN,0,0,1718.72998,1718.72998,10910300,2,3437.45996,-2092.98,1344.4799600000001,NA
2019-02-01,NA,AMZN,0,0,1626.22998,1626.22998,11506200,2,3252.45996,-2092.98,1159.4799600000001,NA
2019-02-04,NA,AMZN,0,0,1633.310059,1633.310059,4929100,2,3266.620118,-2092.98,1173.6401179999998,NA
2019-02-05,NA,AMZN,0,0,1658.810059,1658.810059,4453100,2,3317.620118,-2092.98,1224.6401179999998,NA
2019-02-06,NA,AMZN,0,0,1640.26001,1640.26001,3939900,2,3280.52002,-2092.98,1187.54002,NA
2019-02-07,NA,AMZN,0,0,1614.369995,1614.369995,4626600,2,3228.73999,-2092.98,1135.75999,NA
2019-02-08,NA,AMZN,0,0,1588.219971,1588.219971,5657500,2,3176.439942,-2092.98,1083.459942,NA
2019-02-11,NA,AMZN,0,0,1591,1591,3317300,2,3182,-2092.98,1089.02,NA
2019-02-12,NA,AMZN,0,0,1638.01001,1638.01001,4858600,2,3276.02002,-2092.98,1183.04002,NA
2019-02-13,NA,AMZN,0,0,1640,1640,3560300,2,3280,-2092.98,1187.02,NA
2019-02-14,NA,AMZN,0,0,1622.650024,1622.650024,4120500,2,3245.300048,-2092.98,1152.320048,NA
2019-02-15,NA,AMZN,0,0,1607.949951,1607.949951,4343900,2,3215.899902,-2092.98,1122.919902,NA
2019-02-19,NA,AMZN,0,0,1627.579956,1627.579956,3681700,2,3255.159912,-2092.98,1162.179912,NA
2019-02-20,NA,AMZN,0,0,1622.099976,1622.099976,3337600,2,3244.199952,-2092.98,1151.219952,NA
